Gene	ALL1	ALL2	ALL3	ALL4	ALL5	ALL6	ALL7	ALL8	ALL9	ALL10	ALL11	ALL12	ALL13	ALL14	ALL15	ALL16	ALL17	ALL18	ALL19	ALL20	ALL21	ALL22	ALL23	ALL24	ALL25	ALL26	ALL27	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11
hum_alu_at	2.630598658	2.204516298	2.572833056	2.663791079	2.56005358	2.682512073	2.727354344	2.665178017	2.37142499	2.652100775	2.557806748	2.74371845	2.490835692	2.608663105	2.193562767	2.695565737	2.244901873	2.810251116	2.715978432	1.465027684	2.549383346	2.747161431	2.75986609	2.593621396	2.691103036	2.501282381	2.762551154	2.588010645	2.595709134	2.202192053	2.583688127	2.606191696	2.489008477	2.650520721	2.838847768	2.414957566	2.471574414	2.581781141
AFFX-HUMISGF3A/M97935_3_at	0.102034503	-0.306234922	0.514591004	-0.385756829	-0.181461765	-0.171480573	-0.436755522	-0.142512078	-0.062304251	0.113949433	-0.614154458	-0.642456876	0.18862058	0.704441587	0.743396083	0.023001277	-0.09641671	0.077134491	-0.212743109	0.838457664	-0.022791514	-0.850490105	0.142105608	-0.041575281	0.302987561	-0.063115568	-0.111257907	-0.044951128	-0.440195133	-0.307355959	-0.506717307	-0.238109301	1.341044853	-0.421334806	-0.255838564	0.027098758	0.594642061	0.122299846
AFFX-HUMGAPDH/M33197_5_at	2.629743654	2.492348123	2.572833056	2.617707708	2.491174647	2.682512073	2.455093294	2.097762342	2.409064149	2.652100775	2.557806748	2.74371845	2.210026044	2.675649526	2.432585106	2.372125217	2.352722117	2.810251116	2.524168937	1.972479358	-0.55763305	2.634451097	2.75986609	2.357500033	2.691103036	1.964547333	2.355789972	2.588010645	2.537149459	2.419158991	2.583688127	2.579445229	2.489008477	2.650520721	2.507438892	2.414957566	2.471574414	2.581781141
AFFX-HUMGAPDH/M33197_3_at	2.680886391	2.492348123	2.572833056	2.676303463	2.56005358	2.682512073	2.727354344	2.320043364	2.409064149	2.652100775	2.557806748	2.74371845	2.265291789	2.675649526	2.432585106	2.695565737	2.352311711	2.810251116	2.715978432	2.126503789	1.780179868	2.747161431	2.75986609	2.648674439	2.691103036	2.677143933	2.714462114	2.588010645	2.595709134	2.419158991	2.583688127	2.562833535	2.489008477	2.650520721	2.838847768	2.414957566	2.471574414	2.581781141
AFFX-HSAC07/X00351_5_at	2.680886391	2.492348123	2.572833056	2.664163332	2.56005358	2.682512073	2.588079594	2.665178017	2.409064149	2.652100775	2.557806748	2.513864283	2.420437168	2.675649526	2.432585106	2.594034146	2.299651928	2.810251116	2.324459855	1.826925673	0.21787576	2.265745048	2.75986609	2.354964943	2.196494688	2.088056402	2.5289039	2.572789097	2.152069488	2.419158991	2.583688127	2.606191696	2.489008477	2.460752462	2.420968497	2.414957566	2.471574414	2.512573988
AFFX-HSAC07/X00351_3_at	2.668655645	2.492348123	2.572833056	2.578890479	2.56005358	2.682512073	2.727354344	2.665178017	2.393404778	2.652100775	2.557806748	2.74371845	2.490835692	2.648910385	2.385562215	2.695565737	2.352722117	2.810251116	2.602939852	2.11911269	2.549383346	2.425015728	2.75986609	2.648674439	2.650509241	2.677143933	2.762551154	2.512575811	2.235844835	2.419158991	2.583688127	2.606191696	2.427799824	2.626331694	2.838847768	2.414957566	2.392727903	2.49013735
AFFX-HUMTFRR/M11507_5_at	-0.847923148	-0.174789422	-0.2483495	-1.072270148	-0.578312561	-0.576857971	-1.120366605	-0.290427776	-0.633373738	-1.937435853	-0.619997839	-0.319449926	-0.909174533	-1.153678339	-0.96037986	-1.253973977	-0.507863788	-0.358123726	-0.850101496	-0.86654714	-1.23845246	-0.369206477	-0.301359539	-0.862469519	-0.351158752	-0.896488944	-1.110775303	0.02084144	0.266606718	-0.332615273	-0.396848746	-0.480607701	-0.041755997	-0.503418919	-0.13281319	-0.733819005	0.185058616	0.759059736
AFFX-M27830_M_at	1.914191666	1.382645719	1.222951265	1.100216389	0.43119145	1.698351662	1.164437883	1.599405802	1.271411491	0.01296774	1.389451011	2.099659725	0.2927356	0.849313361	1.312107352	0.489078699	-0.007121856	2.043808896	0.549326814	-0.013102727	0.774136777	2.233458623	2.418305065	0.367231411	2.299406621	1.170566511	1.544484073	1.110419183	0.652884768	0.8468318	1.700990358	1.22824003	0.592233209	1.039463466	1.583951573	0.943487423	1.460210186	1.89459087
AFFX-M27830_3_at	0.427681119	0.014666157	0.114284443	-0.185433571	-0.240378016	-0.481115029	0.115845874	0.373419048	-0.077493639	0.303676597	0.211796058	-0.01544885	-0.40238159	0.259562815	-0.404926941	0.387505206	0.341820181	0.347643036	0.394530857	-0.082315158	0.400367234	0.246971657	-0.23415038	0.19367536	0.661893125	0.315352021	-0.08045993	0.444072384	-0.220943197	-0.339991171	-0.216911892	0.238461378	0.641908046	0.474620971	0.594736153	0.283513414	0.351495562	-0.207579936
AFFX-HSAC07/X00351_3_st	1.236488183	1.241370118	1.155429947	0.811691889	0.139879884	0.907828594	1.557177995	0.381314386	1.842831949	0.210093695	0.799337114	1.042901819	0.307947421	1.51360827	0.884861123	0.772052169	0.906149681	1.594578625	0.716168968	0.52620952	0.261847884	0.724133539	1.028590604	-1.26228295	0.878610507	0.309416845	1.67669555	0.418510652	-0.142786837	0.629529946	0.817552587	0.664088422	0.630744082	0.720511131	0.963233671	0.604880951	0.539365084	0.396985775
AFFX-HSAC07/X00351_M_st	-0.640580778	-0.333569668	-0.056029752	-0.211283669	-1.752304485	0.24747477	-0.303861835	0.378165083	-0.266663128	-0.810250384	-0.665288197	-0.170182797	-1.006132149	-0.070494957	-0.724465062	-1.092185116	-0.660162066	-0.068007936	-0.889229284	-2.103318694	-1.694140972	-0.010669705	-0.247145245	-0.251170055	-0.555446242	-0.620811228	0.096575911	-0.462521232	-0.615195358	-0.165514983	0.031008995	-0.394876009	0.205836893	-0.527757698	0.189271179	-0.014570578	-0.024170118	0.232186819
A28102_at	-1.328246676	-0.6927945	-1.918070278	-0.256798454	-1.285274352	-0.501077615	-0.285146681	0.202606522	-2.079421037	-0.769215852	-1.094690517	-0.017471658	-1.689834608	-0.899265979	-2.577441588	-0.738968393	-1.756480283	-1.376892343	-0.129145966	-0.281286786	-1.541916547	-1.000709415	-0.387705501	-0.978489204	-0.153190371	-1.148126414	-0.141527482	-1.050633447	-0.125094542	-0.383869759	-0.120368502	-0.501872197	-0.919329313	-0.54776251	-0.058215739	-2.030658496	-0.71505146	-0.434073083
AB000115_at	-0.794269111	-0.732097648	-0.706921006	-1.440181606	-0.883860756	-1.542855158	-1.135371634	-0.711841368	-1.140913932	-1.188281256	-0.988602164	-0.499580243	-1.2939958	-1.122919361	-0.95606004	-1.171909119	-1.316095488	-0.704933532	-0.599473986	0.64868985	-0.546564259	-1.187297494	-0.735134207	-0.733905805	0.871624942	-1.248908391	-0.974131979	-0.953003727	-0.907890319	-0.735818105	-0.730224896	-0.466038098	0.416023481	-0.923175709	-0.327426093	-1.728513625	-0.504114187	-1.682153642
AB000449_at	-2.165852986	-1.035681823	-0.704513372	-0.7338381	-0.526252415	-0.619380092	-1.346266559	-1.932197823	-0.770778495	-0.730244248	-0.503165415	-0.614303724	0.357349179	-0.58596181	-0.167941355	-1.311390748	-0.747294004	-0.846638244	-0.415681543	-0.099730929	0.172261935	-2.164420308	-1.041434885	-0.505932448	-0.702279177	-0.498358438	-0.889888348	-1.104179558	-0.516418238	-1.42035305	-1.202813584	-2.488617775	-0.93539456	-1.705246019	-1.25827311	-1.612691885	-1.195089261	-1.360578663
AB000450_at	-1.149014467	-0.834741014	-1.062941209	-0.827634985	-0.928862089	-2.214746184	-0.991810895	-0.178279684	-0.923844473	-1.76081864	-1.479440807	-1.3950325	-0.773116669	-1.459616554	-0.825901584	-1.024137037	-0.511220059	-0.841807866	-1.237786946	-1.160769976	-0.615768795	-2.464436101	-1.242884902	-1.034739298	-1.448896825	-2.482720793	-1.336998136	-2.179839219	-1.452691876	-0.978355955	-0.533405618	-1.532744194	-1.594226818	-0.557950922	-0.553723693	-1.444309259	-1.206687723	-1.47572273
