Module,Size,T-Statistic,P-Value
sienna3,33,1.707495,0.087730
skyblue,36,0.198783,0.842432
lightsteelblue1,30,0.252159,0.800918
royalblue,45,0.385885,0.699582
magenta,53,0.440014,0.659927
plum2,27,0.140336,0.888395
coral2,22,-1.037591,0.299461
thistle1,26,-1.647676,0.099419
darkturquoise,43,0.052843,0.957857
darkolivegreen,34,0.686196,0.492589
red,61,-0.581458,0.560932
darkgrey,43,0.249842,0.802709
ivory,29,-2.382030,0.017217
pink,54,-0.082471,0.934272
brown,78,-1.555680,0.119784
skyblue1,21,0.510131,0.609959
paleturquoise,34,1.181160,0.237539
cyan,47,-0.630098,0.528630
salmon4,26,-0.036550,0.970844
blue,87,1.060142,0.289080
orangered4,32,0.114727,0.908661
darkseagreen4,23,0.669444,0.503212
lavenderblush3,24,-0.584573,0.558835
grey,37,-0.450590,0.652285
darkorange,40,0.356607,0.721386
midnightblue,47,-0.203901,0.838431
grey60,46,1.190289,0.233933
lightpink4,24,1.421812,0.155081
brown4,777,-1.879310,0.060202
white,37,-0.430194,0.667055
coral1,23,0.524368,0.600022
turquoise,104,0.588367,0.556286
steelblue,35,0.306535,0.759198
bisque4,339,-0.129289,0.897129
antiquewhite4,23,0.923729,0.355627
maroon,24,0.417317,0.676447
lightcyan,46,-0.893096,0.371806
darkorange2,58,0.290225,0.771644
